CustomerID,TotalRevenue,TotalOrders,TotalQuantity,FirstPurchase,LastPurchase,Country,Region,AcquisitionChannel,SubscriptionPlan,AverageOrderValue,CustomerLifespanDays,CustomerLifespanMonths,PurchaseFrequencyPerMonth,HistoricalCLTV,CLTVDifference,CLTVSegment,CLTVSegmentSort
C00085,4619.2325,1,5,2025-11-09,2025-11-09,United Kingdom,West,Email,Standard,4619.23,0,1.0,1.0,4619.23,-0.0,Medium Value,2
C00086,3370.9500000000003,1,5,2026-03-22,2026-03-22,Canada,West,Affiliate,Standard,3370.95,0,1.0,1.0,3370.95,-0.0,Medium Value,2
C00087,59945.901,13,45,2025-05-15,2026-03-26,United States,East,Referral,Standard,4611.22,315,10.35,1.26,60134.92,189.02,Very High Value,4
C00088,3530.6220000000003,2,7,2025-06-02,2025-06-30,India,East,Social Media,Basic,1765.31,28,1.0,2.0,3530.62,-0.0,Medium Value,2
C00089,3846.3435,3,9,2025-03-06,2025-05-04,India,South,Organic Search,Basic,1282.11,59,1.94,1.55,3855.3,8.96,Medium Value,2
C00090,4010.9404999999997,3,10,2025-08-13,2025-10-10,India,Central,Paid Search,Basic,1336.98,58,1.91,1.57,4009.2,-1.74,Medium Value,2
C00091,15007.175,11,35,2025-07-29,2026-02-03,Australia,Central,Affiliate,Basic,1364.29,189,6.21,1.77,14995.87,-11.3,Very High Value,4
C00092,654.2370000000001,1,3,2025-11-16,2025-11-16,Australia,North,Paid Search,Basic,654.24,0,1.0,1.0,654.24,0.0,Low Value,1
C00093,11602.599999999999,4,11,2026-04-06,2026-06-26,India,West,Affiliate,Standard,2900.65,81,2.66,1.5,11573.59,-29.01,High Value,3
C00094,2475.936,1,2,2026-04-10,2026-04-10,India,South,Organic Search,Standard,2475.94,0,1.0,1.0,2475.94,0.0,Medium Value,2
C00095,10638.675,2,7,2025-12-27,2026-03-14,United States,West,Email,Premium,5319.34,77,2.53,0.79,10631.76,-6.91,High Value,3
C00096,8626.24,3,9,2025-11-23,2025-12-30,United Kingdom,West,Social Media,Standard,2875.41,37,1.22,2.46,8629.68,3.44,High Value,3
C00097,7624.137,6,15,2025-09-06,2026-01-05,India,West,Organic Search,Basic,1270.69,121,3.98,1.51,7636.59,12.45,High Value,3
C00098,41366.4765,4,15,2025-08-26,2025-11-09,India,West,Paid Search,Premium,10341.62,75,2.46,1.63,41467.83,101.35,Very High Value,4
C00099,5561.650000000001,4,15,2026-04-05,2026-06-14,United States,North,Organic Search,Basic,1390.41,70,2.3,1.74,5564.42,2.77,High Value,3
C00100,16792.84,2,6,2025-04-26,2025-04-30,United States,North,Email,Premium,8396.42,4,1.0,2.0,16792.84,0.0,Very High Value,4
C00101,838.98,1,1,2025-01-19,2025-01-19,India,South,Email,Standard,838.98,0,1.0,1.0,838.98,0.0,Low Value,1
C00102,328.03200000000004,1,1,2025-05-14,2025-05-14,United States,East,Social Media,Basic,328.03,0,1.0,1.0,328.03,-0.0,Low Value,1
C00103,3994.817,4,14,2026-02-12,2026-04-20,Australia,South,Email,Basic,998.7,67,2.2,1.82,3998.79,3.97,Medium Value,2
C00104,14464.3695,4,14,2025-06-28,2025-08-14,India,West,Social Media,Standard,3616.09,47,1.54,2.6,14478.82,14.45,Very High Value,4
C00105,19727.504,7,20,2025-12-28,2026-05-14,India,South,Referral,Standard,2818.21,137,4.5,1.56,19783.83,56.33,Very High Value,4
C00106,8895.822,5,17,2025-11-19,2026-03-17,United States,Central,Referral,Basic,1779.16,118,3.88,1.29,8905.05,9.23,High Value,3
C00107,798.286,1,2,2025-08-03,2025-08-03,India,East,Organic Search,Basic,798.29,0,1.0,1.0,798.29,0.0,Low Value,1
C00108,3135.027,2,7,2025-09-07,2025-10-06,United States,West,Affiliate,Basic,1567.51,29,1.0,2.0,3135.02,-0.01,Medium Value,2
C00109,4041.697,2,6,2025-12-31,2026-01-19,United States,Central,Paid Search,Basic,2020.85,19,1.0,2.0,4041.7,0.0,Medium Value,2
C00110,3269.228,3,10,2025-11-04,2025-12-20,Canada,South,Paid Search,Basic,1089.74,46,1.51,1.99,3274.56,5.33,Medium Value,2
C00111,183.168,1,1,2025-05-14,2025-05-14,United Kingdom,Central,Referral,Basic,183.17,0,1.0,1.0,183.17,0.0,Low Value,1
C00112,6234.981,2,5,2026-04-05,2026-04-29,India,West,Paid Search,Standard,3117.49,24,1.0,2.0,6234.98,-0.0,High Value,3
C00113,20565.0675,4,17,2026-04-02,2026-06-23,United Kingdom,East,Email,Standard,5141.27,82,2.69,1.49,20606.72,41.65,Very High Value,4
C00114,5610.7605,5,16,2025-06-01,2025-07-16,United Kingdom,West,Email,Basic,1122.15,45,1.48,3.38,5613.44,2.68,High Value,3
C00115,2169.8495000000003,2,4,2026-01-28,2026-02-11,India,North,Social Media,Basic,1084.92,14,1.0,2.0,2169.84,-0.01,Low Value,1
C00116,6753.35,1,5,2025-06-11,2025-06-11,India,East,Email,Standard,6753.35,0,1.0,1.0,6753.35,0.0,High Value,3
C00117,485.0,1,4,2026-02-12,2026-02-12,United States,East,Social Media,Basic,485.0,0,1.0,1.0,485.0,0.0,Low Value,1
C00118,8855.8055,3,7,2025-03-09,2025-05-26,India,East,Email,Standard,2951.94,78,2.56,1.17,8841.65,-14.16,High Value,3
C00119,3730.365,1,3,2025-05-03,2025-05-03,India,West,Organic Search,Standard,3730.36,0,1.0,1.0,3730.36,-0.0,Medium Value,2
C00120,254.68,1,1,2025-11-02,2025-11-02,Canada,North,Paid Search,Basic,254.68,0,1.0,1.0,254.68,0.0,Low Value,1
C00121,2335.234,3,6,2025-06-11,2025-07-22,India,Central,Organic Search,Basic,778.41,41,1.35,2.22,2332.89,-2.34,Medium Value,2
C00122,1987.191,1,1,2025-06-16,2025-06-16,United Kingdom,South,Email,Standard,1987.19,0,1.0,1.0,1987.19,-0.0,Low Value,1
C00123,6688.079,5,16,2025-02-05,2025-03-28,India,West,Social Media,Basic,1337.62,51,1.68,2.98,6696.66,8.58,High Value,3
C00124,893.4000000000001,1,3,2025-05-13,2025-05-13,India,West,Affiliate,Basic,893.4,0,1.0,1.0,893.4,-0.0,Low Value,1
C00125,24794.0975,11,34,2025-10-27,2026-05-24,India,North,Email,Standard,2254.01,209,6.87,1.6,24776.08,-18.02,Very High Value,4
C00126,4434.52,2,6,2025-02-18,2025-02-20,United Kingdom,North,Affiliate,Basic,2217.26,2,1.0,2.0,4434.52,0.0,Medium Value,2
C00127,46586.775499999996,3,12,2025-12-02,2026-01-25,India,Central,Organic Search,Premium,15528.93,54,1.77,1.69,46451.69,-135.09,Very High Value,4
C00128,7055.537,9,25,2025-11-27,2026-05-18,United Kingdom,East,Affiliate,Basic,783.95,172,5.65,1.59,7042.61,-12.93,High Value,3
C00129,2793.04,2,8,2025-03-06,2025-04-04,United Kingdom,South,Affiliate,Basic,1396.52,29,1.0,2.0,2793.04,0.0,Medium Value,2
C00130,4141.3060000000005,4,9,2025-05-14,2025-07-25,India,North,Organic Search,Basic,1035.33,72,2.37,1.69,4146.81,5.5,Medium Value,2
C00131,7296.85,2,9,2025-09-06,2025-09-20,India,South,Paid Search,Basic,3648.42,14,1.0,2.0,7296.84,-0.01,High Value,3
C00132,9822.263,4,12,2025-02-20,2025-05-06,United States,East,Email,Standard,2455.57,75,2.46,1.63,9846.34,24.08,High Value,3
C00133,1752.8,1,4,2026-05-09,2026-05-09,India,North,Organic Search,Standard,1752.8,0,1.0,1.0,1752.8,0.0,Low Value,1
C00134,6377.358499999999,3,10,2026-03-05,2026-04-06,India,North,Organic Search,Basic,2125.79,32,1.05,2.86,6383.75,6.39,High Value,3
C00135,17281.766,6,23,2025-10-21,2026-04-09,India,West,Affiliate,Standard,2880.29,170,5.58,1.08,17357.78,76.01,Very High Value,4
C00137,887.5595,2,2,2025-08-27,2025-08-28,India,Central,Referral,Basic,443.78,1,1.0,2.0,887.56,0.0,Low Value,1
C00138,31736.361,5,17,2026-03-20,2026-06-12,Australia,Central,Referral,Premium,6347.27,84,2.76,1.81,31708.42,-27.94,Very High Value,4
C00139,5450.56,1,4,2025-06-10,2025-06-10,India,South,Social Media,Standard,5450.56,0,1.0,1.0,5450.56,0.0,High Value,3
C00140,575.858,1,1,2025-05-18,2025-05-18,United Kingdom,West,Affiliate,Standard,575.86,0,1.0,1.0,575.86,0.0,Low Value,1
C00141,59264.36,4,13,2025-07-31,2025-10-23,United States,East,Paid Search,Premium,14816.09,84,2.76,1.45,59293.99,29.63,Very High Value,4
C00142,2745.96,1,3,2026-01-07,2026-01-07,United States,West,Social Media,Standard,2745.96,0,1.0,1.0,2745.96,0.0,Medium Value,2
C00143,3057.8,1,5,2025-06-25,2025-06-25,Australia,North,Paid Search,Basic,3057.8,0,1.0,1.0,3057.8,0.0,Medium Value,2
C00144,4119.524,4,10,2025-01-15,2025-02-25,India,Central,Email,Basic,1029.88,41,1.35,2.96,4115.4,-4.12,Medium Value,2
C00145,1231.31,2,9,2025-12-10,2025-12-25,United States,West,Referral,Basic,615.66,15,1.0,2.0,1231.32,0.01,Low Value,1
C00146,21547.42,3,6,2026-05-10,2026-06-04,India,West,Paid Search,Premium,7182.47,25,1.0,3.0,21547.41,-0.01,Very High Value,4
C00147,10955.485,3,11,2025-05-24,2025-06-13,United Kingdom,East,Email,Standard,3651.83,20,1.0,3.0,10955.49,0.0,High Value,3
C00148,2427.74,1,2,2026-03-22,2026-03-22,Australia,West,Affiliate,Standard,2427.74,0,1.0,1.0,2427.74,0.0,Medium Value,2
C00149,2035.274,2,8,2026-05-22,2026-06-10,United States,Central,Email,Basic,1017.64,19,1.0,2.0,2035.28,0.01,Low Value,1
C00150,4140.45,2,10,2025-09-10,2025-09-20,India,Central,Paid Search,Basic,2070.22,10,1.0,2.0,4140.44,-0.01,Medium Value,2
C00151,16724.323,6,17,2026-01-31,2026-06-20,India,North,Referral,Standard,2787.39,140,4.6,1.3,16668.59,-55.73,Very High Value,4
C00152,1013.13,1,5,2026-05-11,2026-05-11,Canada,East,Referral,Basic,1013.13,0,1.0,1.0,1013.13,0.0,Low Value,1
C00153,694.8879999999999,2,3,2025-11-19,2025-11-20,Canada,West,Social Media,Basic,347.44,1,1.0,2.0,694.88,-0.01,Low Value,1
C00154,7764.46,1,2,2025-07-15,2025-07-15,India,Central,Social Media,Premium,7764.46,0,1.0,1.0,7764.46,0.0,High Value,3
C00155,7066.737,2,6,2026-01-22,2026-02-01,India,West,Organic Search,Standard,3533.37,10,1.0,2.0,7066.74,0.0,High Value,3
C00156,8197.008,4,7,2026-03-08,2026-05-14,India,West,Social Media,Standard,2049.25,67,2.2,1.82,8205.2,8.19,High Value,3
C00157,1872.2,1,1,2025-03-24,2025-03-24,India,North,Social Media,Premium,1872.2,0,1.0,1.0,1872.2,0.0,Low Value,1
C00158,14160.841,2,6,2025-03-09,2025-04-15,India,West,Referral,Premium,7080.42,37,1.22,1.64,14166.5,5.66,Very High Value,4
C00159,12114.8195,3,9,2025-03-21,2025-04-24,India,South,Paid Search,Standard,4038.27,34,1.12,2.68,12121.27,6.45,Very High Value,4
C00160,54210.2225,6,22,2025-11-21,2026-03-21,Canada,North,Email,Premium,9035.04,120,3.94,1.52,54109.05,-101.17,Very High Value,4
C00161,3201.9275,1,5,2025-07-24,2025-07-24,Canada,West,Affiliate,Basic,3201.93,0,1.0,1.0,3201.93,0.0,Medium Value,2
C00162,6865.07,2,6,2025-12-04,2026-01-10,Australia,East,Email,Standard,3432.54,37,1.22,1.64,6867.83,2.76,High Value,3
C00163,8252.148000000001,2,9,2025-02-27,2025-04-08,India,North,Referral,Standard,4126.07,40,1.31,1.53,8269.88,17.73,High Value,3
C00164,1002.85,1,5,2025-01-26,2025-01-26,India,North,Paid Search,Basic,1002.85,0,1.0,1.0,1002.85,0.0,Low Value,1
C00165,372.4665,1,1,2025-10-26,2025-10-26,India,South,Paid Search,Basic,372.47,0,1.0,1.0,372.47,0.0,Low Value,1
C00166,467.115,1,3,2025-12-09,2025-12-09,Australia,West,Email,Basic,467.12,0,1.0,1.0,467.12,0.0,Low Value,1
C00167,1465.35,1,5,2025-05-27,2025-05-27,Canada,North,Social Media,Basic,1465.35,0,1.0,1.0,1465.35,0.0,Low Value,1
C00168,125359.198,13,41,2025-10-10,2026-06-29,Australia,West,Organic Search,Premium,9643.02,262,8.61,1.51,125369.87,10.67,Very High Value,4
C00169,2401.258,1,4,2025-08-26,2025-08-26,Canada,West,Email,Basic,2401.26,0,1.0,1.0,2401.26,0.0,Medium Value,2
C00170,22098.466,4,16,2025-09-20,2025-10-30,United Kingdom,West,Organic Search,Standard,5524.62,40,1.31,3.05,22073.62,-24.85,Very High Value,4
C00171,9025.749,3,8,2025-07-01,2025-08-19,India,West,Organic Search,Standard,3008.58,49,1.61,1.86,9009.49,-16.26,High Value,3
C00172,34528.815,3,13,2026-02-07,2026-03-30,United States,Central,Affiliate,Premium,11509.61,51,1.68,1.79,34611.7,82.88,Very High Value,4
C00173,2471.8465,2,4,2026-02-14,2026-03-25,United States,Central,Referral,Basic,1235.92,39,1.28,1.56,2467.89,-3.96,Medium Value,2
C00174,10663.522500000001,3,7,2025-05-14,2025-05-30,United Kingdom,South,Email,Premium,3554.51,16,1.0,3.0,10663.53,0.01,High Value,3
C00175,8124.746999999999,4,9,2025-06-13,2025-08-30,United Kingdom,North,Referral,Standard,2031.19,78,2.56,1.56,8111.76,-12.99,High Value,3
C00176,1689.0639999999999,2,7,2025-06-14,2025-06-24,India,West,Paid Search,Basic,844.53,10,1.0,2.0,1689.06,-0.0,Low Value,1
C00178,1292.34,2,6,2025-09-25,2025-09-28,United States,East,Affiliate,Basic,646.17,3,1.0,2.0,1292.34,0.0,Low Value,1
C00179,10908.085000000001,4,10,2025-02-13,2025-05-03,Canada,South,Organic Search,Standard,2727.02,79,2.6,1.54,10918.99,10.9,High Value,3
C00180,485.01,1,1,2026-03-29,2026-03-29,India,East,Referral,Basic,485.01,0,1.0,1.0,485.01,0.0,Low Value,1
C00181,1998.5,1,1,2025-03-26,2025-03-26,United Kingdom,East,Social Media,Premium,1998.5,0,1.0,1.0,1998.5,0.0,Low Value,1
C00182,36223.2525,8,14,2025-03-23,2025-07-31,India,West,Email,Premium,4527.91,130,4.27,1.87,36154.91,-68.34,Very High Value,4
C00183,3158.608,3,8,2026-04-28,2026-06-14,United Kingdom,North,Email,Basic,1052.87,47,1.54,1.95,3161.77,3.16,Medium Value,2
C00184,1830.45,1,5,2026-01-02,2026-01-02,India,South,Paid Search,Basic,1830.45,0,1.0,1.0,1830.45,0.0,Low Value,1
C00185,4955.483,6,15,2025-03-03,2025-05-18,India,Central,Organic Search,Basic,825.91,76,2.5,2.4,4955.46,-0.02,High Value,3
C00186,7085.378999999999,2,6,2026-02-10,2026-03-11,India,Central,Email,Standard,3542.69,29,1.0,2.0,7085.38,0.0,High Value,3
C00187,24272.495,4,10,2025-08-18,2025-10-18,United Kingdom,West,Email,Premium,6068.12,61,2.0,2.0,24272.48,-0.01,Very High Value,4
C00188,534.622,1,1,2026-01-04,2026-01-04,India,West,Paid Search,Basic,534.62,0,1.0,1.0,534.62,-0.0,Low Value,1
C00189,2084.965,1,5,2025-12-20,2025-12-20,India,East,Paid Search,Basic,2084.96,0,1.0,1.0,2084.96,-0.01,Low Value,1
C00190,3728.1899999999996,2,7,2026-05-16,2026-06-12,India,West,Referral,Basic,1864.09,27,1.0,2.0,3728.18,-0.01,Medium Value,2
C00191,5557.032999999999,5,17,2025-01-27,2025-04-21,India,East,Organic Search,Basic,1111.41,84,2.76,1.81,5552.16,-4.87,High Value,3
C00192,2646.3,1,5,2025-02-24,2025-02-24,India,Central,Referral,Basic,2646.3,0,1.0,1.0,2646.3,0.0,Medium Value,2
C00193,41956.9875,5,14,2025-07-06,2025-09-12,India,Central,Referral,Premium,8391.4,68,2.23,2.24,41916.72,-40.27,Very High Value,4
